client_user_id,paid_at,Recency,Frequency,Monetary,category_Desain Grafis & Branding,category_Gaya Hidup,category_Konsultasi,category_Pemasaran & Periklanan,category_Penulisan & Penerjemahan,category_Unknown,"category_Video, Fotografi & Audio",category_Web & Pemrograman,Cluster
At**********ti,2024-10-12 17:15:00,50,1,100089,0,0,1,0,0,0,0,0,2
At********10,2024-05-14 13:41:00,201,1,100504,0,0,0,1,0,0,0,0,0
At*****am,2023-12-29 00:02:00,339,1,20413,0,0,0,1,0,0,0,0,0
At****99,2024-07-18 14:28:00,136,1,176934,0,0,0,1,0,0,0,0,0
Au*****ky,2024-09-09 20:22:00,83,1,100089,0,0,0,1,0,0,0,0,0
Av**************ng,2024-08-05 17:32:00,118,3,301245,0,0,0,1,0,0,0,0,0
Av****aa,2024-09-05 07:00:00,88,2,202242,0,0,0,1,0,0,0,0,0
Ay******22,2024-10-04 01:09:00,59,1,100156,0,0,0,1,0,0,0,0,0
Ay*****uf,2024-07-22 18:49:00,132,2,200286,0,0,0,1,0,0,0,0,0
Ay****34,2024-10-06 16:31:00,56,1,171870,1,0,0,0,0,0,0,0,1
Ay****at,2024-05-15 13:04:00,200,1,101088,0,0,0,1,0,0,0,0,0
Az*********88,2024-05-20 09:51:00,195,1,100285,0,0,0,1,0,0,0,0,0
Az********27,2024-11-15 16:30:00,16,2,606695,1,0,0,0,0,0,0,0,1
Az********94,2024-07-01 11:48:00,153,2,552745,0,0,0,1,0,0,0,0,0
Az****Al,2024-10-26 16:41:00,36,1,100089,0,0,0,1,0,0,0,0,0
BA****66,2024-09-30 18:36:00,62,2,200274,0,0,0,1,0,0,0,0,0
BG*******AS,2024-09-17 17:02:00,75,1,101100,0,0,0,1,0,0,0,0,0
Ba***********28,2024-09-20 10:33:00,72,1,101100,1,0,0,0,0,0,0,0,1
Ba*********97,2024-07-12 18:08:00,142,1,100374,0,0,0,1,0,0,0,0,0
Ba********ta,2023-10-09 13:04:00,419,1,1086807,0,0,0,0,0,1,0,0,3
Ba*******ya,2024-03-26 15:55:00,250,1,152242,1,0,0,0,0,0,0,0,1
Ba******ix,2024-10-05 07:00:00,58,1,394293,0,0,0,1,0,0,0,0,0
Ba*****AP,2024-10-31 16:07:00,31,1,100089,0,0,0,1,0,0,0,0,0
Ba*****an,2024-07-23 16:37:00,131,2,606655,0,0,0,1,0,0,0,0,0
Ba*****di,2024-10-25 05:40:00,38,1,100128,0,0,0,1,0,0,0,0,0
Be************si,2024-08-08 14:18:00,115,1,505500,1,0,0,0,0,0,0,0,1
Be**********24,2024-01-13 21:04:00,323,2,2301525,1,0,0,0,0,1,0,0,3
Be********da,2024-08-25 17:49:00,98,1,104093,0,0,0,1,0,0,0,0,0
Be********na,2024-10-30 05:20:00,33,1,160749,0,0,0,1,0,0,0,0,0
Be*****13,2024-08-14 11:09:00,109,1,111210,0,0,0,0,1,0,0,0,2
Be****86,2024-08-20 11:01:00,103,1,100089,0,0,0,1,0,0,0,0,0
